"Otra vez movistar sin internet podrido con mal servicio @MovistarChile @SERNAC		-1";"3";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"5819";"-1"
"Si te quejas de los aumentos de Movistar, deja perder la linea de una vez...asi se evitan las quejas de mal funcionamiento\"		-1";"5826";"-1"
"como uds. M van a cobrar 60.000 Bs. De renta, es un absurdo, su mal servicio de cobertura y navegacion de internet es pesimo.\"		-1";"5829";"-1"
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";"5834";"-1"
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";"5848";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"5850";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"5871";"-1"
"Movistar Peru la peor PORQUERIA QUE PUDEMOS HABER ADQUIRIDO, el peor servicio, la peor senal, todo lo tienen mal		-1";"5872";"-1"
"Movistar no responde ante reiterados reclamos por mal servicio internet hogar\"		-1";"5880";"-1"
"Un horror el mal servicio de @Movistar una pena , yo que confiaba en sus servicios , mi movil y mi casa con problemas @AyudaMovistarCL\"		-1";"5882";"-1"
"Por que nadie contesta en el call center? Me bloquearon? Si dan mal servicio No les gustan los clientes que consultamos?\"		-1";"5883";"-1"
"Mi teor? es que Movistar pertenece a Telcel, y lo usan para dar mal servicio 		-1";"5895";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5917";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5919";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5922";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5927";"-1"
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";"5933";"-1"
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";"5943";"-1"
"De acuerdo. Movistar brinda un mal servicio, tambien tengo dificultades en las comunicaciones.\"		-1";"5946";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5961";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5962";"-1"
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";"5963";"-1"
"Que mal servicio de movistar te roba a lo bruto no lo contrates ni te cambies @MovistarMX @MiMovistarMX\"		-1";"5966";"-1"
"Aunque sea la misma empresa, la que tiene que responder  su mal servicio es Movistar Colombia, ojala respondieran con la rapidez de Espana\"		-1";"5970";"-1"
"cansado del mal servicio de Internet ofrecido por Movistar en Leticia Amazonas, apoya esta peticon por un mejor		-1";"5971";"-1"
"aparte de prestar mal servicio tambien son unos ladrones! No entran las recargas @Movistar 28Oct\"		-1";"5973";"-1"
"Alguien de mi familia hoy mandara al carajo a Movistar. Despues de dos malditos anos de puro mal servicio.		-1";"5980";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5981";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"5983";"-1"
"Le hago la cruz a Movistar! No soy mas cliente de esa pudricion de mal servicio y estafa		-1";"5998";"-1"
"Le hago la cruz a Movistar! No soy mas cliente de esa pudricion de mal servicio y estafa		-1";"6004";"-1"
"Movistar y su man? de prestar un mal servicio de datos		-1";"6005";"-1"
"La TarifaCero desaparecer en 2018 		-1";"6016";"-1"
"Al final de cuentas el consumidor es el que termina pagando los platos rotos, no AT&amp		-1";"6026";"-1"
"Por favor reclamos con Soporte Movistar 		-1";"6027";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6030";"-1"
"Marico osea, nadie va a decir o hacer algo por el aumento de las rentas de Movistar?\"		-1";"6036";"-1"
"Al final de cuentas el consumidor es el que termina pagando los platos rotos, no AT&amp		-1";"6039";"-1"
"Los tres son una mierda, te apuesto a cuando vaya a reactivar la linea Movistar me roba, te lo aseguro por		-1";"6044";"-1"
"NO al aumento abusivo de tarifas por parte de Movistar y Digitel - Firma la peticion! 		-1";"6061";"-1"
"Me llega al pincho movistar y toda la mierda nacional y particular quiero mirar tv csm		-1";"6090";"-1"
"LLAMA MERCENARIOS A LOS Q DEJAN SU EQUIPO MEDOCRE,CUANTO QUISIERA Q LE O?		-1";"6098";"-1"
"De cualquier forma la tarifa de interconexion para AT&amp		-1";"6099";"-1"
"Cuantos tuitstars estan atragantados de mermelada por el tema de Movistar y el iPhone8 ya perdieron todo pudor para la merme		-1";"6106";"-1"
"No me gusta ese comercial de Movistar porque dice: comience apretando el asterisco... uno se arruga mucho poh!.. 		-1";"6124";"-1"
"De saber que tener claro era la misma mierda que tener Movistar aca no hubiera cambiado 		-1";"6136";"-1"
"Que vergaaaaa con movistar fren		-1";"6140";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6166";"-1"
"Y ya estan entregando el iPhone 8 y yo sigo esperando la llamada de Movistar <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>\"		-1";"6167";"-1"
"Los alarmantes aumentos de las tarifas para Digitel, Movistar y Movilnet 		-1";"6169";"-1"
"MOVISTAR TENES UN INTERNET PORONGA		-1";"6173";"-1"
"La gente que pide al gobierno que \"\"tome medidas\"\" contra Movistar por el aumento de tarifas, impulsa la Gran Mision Senales		-1";"6174";"-1"
"Movistar me pone a pagar de 2140 a 30,000 prro queeee ajuste de susto no puedo con mucho		-1";"6175";"-1"
"Movistar en menos de una hora me quito los 50 pesos, vamos bien		-1";"6179";"-1"
"Prensa Movistar-Lima se la llevan facil. Los celulares estan mutis 100% en PALPA (ICA)desde el25 de Octubre.No hay ninguna informacon Ineptos\"		-1";"6184";"-1"
"Amigos, Movistar les quiere vender un iPhone 8 como si fuera un iPhone X.		-1";"6186";"-1"
"NicolasMaduro presidente como es posible q suban las tarifas telefnicas Movistar por mas de un 1000 % y conatel no se pronuncia\"		-1";"6191";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6193";"-1"
"Yo me he quejado poco o nada de Movistar, nunca me he tenido inconvenientes pero igual no puedo renovar a un iPhone porque me los dejan caros		-1";"6195";"-1"
"Me dicen lo mismo que esta en la pagina Web Jajajaj\"		-1";"6198";"-1"
"Por que estan tan caras las entradas 		-1";"6199";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6201";"-1"
"Diganme como como voy a pagar 35 palos de renta en la porquerias de telefono que tengo que de paso ni sirve y Movistar menos o sea...\"		-1";"6202";"-1"
"NicolasMaduro presidente como es posible q suban las tarifas telefonicas Movistar por mas de un 1000 % y conatel no se pronuncia\"		-1";"6206";"-1"
"Movistar dio su brazo a torcer y los partidos Peru vs. Nueva Zelanda sern transmitidos por se_al abierta		-1";"6214";"-1"
"da tarifa de prepagos, pospago no da *144 tampoco y mi movistar tampoco, es uno de los misterios de movistar		-1";"6215";"-1"
"Movistar, Movilnet y Digitel aumentan tarifas a partir de noviembre 		-1";"6216";"-1"
"sin duda son lo peor como lanzar un aumento tan elevado como ese mas del 1000% adios movistar de porqueria basuras\"		-1";"6221";"-1"
"Movistar, Movilnet y Digitel aumentan tarifas a partir de noviembre		-1";"6222";"-1"
"Movistar, Movilnet y Digitel aumentan tarifas a partir de noviembre		-1";"6227";"-1"
"Usuarios de Movistar denuncian que aumentaron las tarifas. 		-1";"6230";"-1"
"Estafa con las tarifas de Movistar deja perplejo al mas ecuanime. Un monto de 36.000,00 Bs por 1.2 gb 300 minutos con		-1";"6232";"-1"
"Que Movistar/Digitel aumenten sus tarifas es medio aceptable, pero movilnet deberia pagarle a sus usuarios por usar esa\"		-1";"6235";"1"
"El plan Naranja 250 de Movilnet paso de costar Bs. 288,60 a Bs. 6.781, un aumento de al menos 2.250% 		-1";"6237";"-1"
"El d? de ayer fue asqueroso. O sea aumento del sueldo. Del pasaje. De Movistar de toda mierda menos mis ganas de seguir en este pais\"		-1";"6238";"-1"
"Estafa con las tarifas de Movistar deja perplejo al mas ecuanime. Un monto de 36.000,00 Bs por 1.2 gb 300 minutos con		-1";"6240";"-1"
"Gracias a movistar por este Halloween y sus precios de terror.\"		-1";"6242";"-1"
"AlertaPresidenteMaduro OJO PELAO CON Movistar que subi sus tarifas en 300% son unos miserables		-1";"6260";"-1"
"Otra vez movistar sin internet podrido con mal servicio @MovistarChile @SERNAC		-1";"6263";"-1"
"movistar tiene empleados y es una empresa privada, estoy dispuesta a pagar 		-1";"6273";"-1"
"quiero hacer una denuncia formal por mal servicio de movistar , todos los dias me desconecta a la 1:30 am yo trabajo a esa hora		-1";"6277";"-1"
"Movistar.. mal servicio!! Conx lenta..!!!\"		-1";"6283";"-1"
"Conatel  Muy eficiente a la hora de aceptar aumento de tarifas telefonia celular! Aunado mal servicio de movilnet. Movistar de 5 a 37 mil.\"		-1";"6286";"-1"
"Me pase de Movistar a Claro y es igual mal servicio con publicidad enganosa. Si tuvieran internet seria genial.		-1";"6288";"-1"
"Me pase de Movistar a Claro y es igual mal servicio con publicidad enganosa. Si tuvieran internet seria genial.		-1";"6291";"-1"
"ANCLegadoDeChavez la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reint		-1";"6292";"-1"
"Sobre la renta de Movistar: no me quejare... Acepto el aumento... Pero es a?tan poco dinero q no me puedo quejar del mal servicio\"		-1";"6301";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"6311";"-1"
"Si el servicio tecnico Movistar ha dado fecha para el 31 de noviembre, muy mal ...		-1";"6332";"-1"
"Estoy tan dispuesta a pagar el incremento de Movistar, como lo estare cuando aumenten el del metro. El costo solo justifica		-1";"6334";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"6341";"-1"
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";"6344";"-1"
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";"6353";"-1"
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";"6354";"-1"
"Estoy tan dispuesta a pagar el incremento de Movistar, como lo estare cuando aumenten el del metro. El costo solo justifica		-1";"6356";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"6368";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"6372";"-1"
"Ahora viene la gente a quejarse porque tienen que pagar 30.000bs y el regimen le bloquea el aumento y mas		-1";"6377";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"6382";"-1"
"Bueno y Entonces Hasta Cuando Digitel y Movistar Violando a Sus Usuarios, Mal Servicio y Tarifas Impagables! @NicolasMaduro @Conatel OJO\"		-1";"6387";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"6392";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"6395";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"6401";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"6412";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"6417";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"6438";"-1"
"verga y tan mal servicio que presta Movistar\"		-1";"6444";"-1"
"verga y tan mal servicio que presta Movistar\"		-1";"6445";"1"
"verga y tan mal servicio que presta Movistar\"		-1";"6448";"-1"
"Que pasa con los aumentos de las tArifas sin aviso,el mal servicio 		-1";"6452";"-1"
"Un aumento del 750% en mi plan y no recib?un mensaje informativo, ni por respeto ni por cortes?. Que mal servicio		-1";"6453";"-1"
"Un aumento del 750% en mi plan y no recib?un mensaje informativo, ni por respeto ni por cortes?. Que mal servicio		-1";"6458";"-1"
"mal servicio telefnico en San Felipe - Comas. Tengo un postpago y la senal de internet falla constantemnte		-1";"6465";"-1"
"Si te quejas de los aumentos de Movistar, deja perder la linea de una vez...asi se evitan las quejas de mal funcionamiento\"		-1";"6466";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"6469";"-1"
"Si te quejas de los aumentos de Movistar, deja perder la linea de una vez...asi se evitan las quejas de mal funcionamiento\"		-1";"6473";"-1"
"como uds. M van a cobrar 60.000 Bs. De renta, es un absurdo, su mal servicio de cobertura y navegacion de internet es pesimo.\"		-1";"6491";"-1"
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";"6498";"-1"
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";"6499";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"6500";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"6505";"-1"
"Movistar Peru la peor PORQUERIA QUE PUDEMOS HABER ADQUIRIDO, el peor servicio, la peor senal, todo lo tienen mal		-1";"6507";"-1"
"Movistar no responde ante reiterados reclamos por mal servicio internet hogar\"		-1";"6509";"-1"
"Un horror el mal servicio de @Movistar una pena , yo que confiaba en sus servicios , mi movil y mi casa con problemas @AyudaMovistarCL\"		-1";"6510";"-1"
"Por que nadie contesta en el call center? Me bloquearon? Si dan mal servicio No les gustan los clientes que consultamos?\"		-1";"6517";"-1"
"Mi teor? es que Movistar pertenece a Telcel, y lo usan para dar mal servicio 		-1";"6527";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6531";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6533";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6538";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6551";"-1"
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";"6556";"-1"
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";"6571";"-1"
"De acuerdo. Movistar brinda un mal servicio, tambien tengo dificultades en las comunicaciones.\"		-1";"6572";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6574";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6582";"-1"
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";"6585";"-1"
"Que mal servicio de movistar te roba a lo bruto no lo contrates ni te cambies @MovistarMX @MiMovistarMX\"		-1";"6586";"-1"
"Aunque sea la misma empresa, la que tiene que responder  su mal servicio es Movistar Colombia, ojala respondieran con la rapidez de Espana\"		-1";"6589";"-1"
"cansado del mal servicio de Internet ofrecido por Movistar en Leticia Amazonas, apoya esta peticon por un mejor		-1";"6591";"-1"
"aparte de prestar mal servicio tambien son unos ladrones! No entran las recargas @Movistar 28Oct\"		-1";"6598";"-1"
"Alguien de mi familia hoy mandara al carajo a Movistar. Despues de dos malditos anos de puro mal servicio.		-1";"6600";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6601";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"6602";"-1"
"Le hago la cruz a Movistar! No soy mas cliente de esa pudricion de mal servicio y estafa		-1";"6604";"-1"
"Le hago la cruz a Movistar! No soy mas cliente de esa pudricion de mal servicio y estafa		-1";"6606";"-1"
"Movistar y su man? de prestar un mal servicio de datos		-1";"6613";"-1"
"La TarifaCero desaparecer en 2018 		-1";"6615";"-1"
"Al final de cuentas el consumidor es el que termina pagando los platos rotos, no AT&amp		-1";"6616";"-1"
"Por favor reclamos con Soporte Movistar 		-1";"6620";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6625";"-1"
"Marico osea, nadie va a decir o hacer algo por el aumento de las rentas de Movistar?\"		-1";"6631";"-1"
"Al final de cuentas el consumidor es el que termina pagando los platos rotos, no AT&amp		-1";"6637";"-1"
"Los tres son una mierda, te apuesto a cuando vaya a reactivar la linea Movistar me roba, te lo aseguro por		-1";"6639";"-1"
"NO al aumento abusivo de tarifas por parte de Movistar y Digitel - Firma la peticion! 		-1";"6655";"-1"
"Me llega al pincho movistar y toda la mierda nacional y particular quiero mirar tv csm		-1";"6658";"-1"
"LLAMA MERCENARIOS A LOS Q DEJAN SU EQUIPO MEDOCRE,CUANTO QUISIERA Q LE O?		-1";"6664";"-1"
"De cualquier forma la tarifa de interconexion para AT&amp		-1";"6675";"-1"
"Cuantos tuitstars estan atragantados de mermelada por el tema de Movistar y el iPhone8 ya perdieron todo pudor para la merme		-1";"6680";"-1"
"No me gusta ese comercial de Movistar porque dice: comience apretando el asterisco... uno se arruga mucho poh!.. 		-1";"6687";"-1"
"De saber que tener claro era la misma mierda que tener Movistar aca no hubiera cambiado 		-1";"6690";"-1"
"Que vergaaaaa con movistar fren		-1";"6712";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6721";"-1"
"Y ya estan entregando el iPhone 8 y yo sigo esperando la llamada de Movistar <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>\"		-1";"6724";"-1"
"Los alarmantes aumentos de las tarifas para Digitel, Movistar y Movilnet 		-1";"6726";"-1"
"MOVISTAR TENES UN INTERNET PORONGA		-1";"6733";"-1"
"La gente que pide al gobierno que \"\"tome medidas\"\" contra Movistar por el aumento de tarifas, impulsa la Gran Mision Senales		-1";"6738";"-1"
"Movistar me pone a pagar de 2140 a 30,000 prro queeee ajuste de susto no puedo con mucho		-1";"6740";"-1"
"Movistar en menos de una hora me quito los 50 pesos, vamos bien		-1";"6742";"-1"
"Prensa Movistar-Lima se la llevan facil. Los celulares estan mutis 100% en PALPA (ICA)desde el25 de Octubre.No hay ninguna informacon Ineptos\"		-1";"6746";"-1"
"Amigos, Movistar les quiere vender un iPhone 8 como si fuera un iPhone X.		-1";"6747";"-1"
"NicolasMaduro presidente como es posible q suban las tarifas telefnicas Movistar por mas de un 1000 % y conatel no se pronuncia\"		-1";"6748";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6755";"-1"
"Yo me he quejado poco o nada de Movistar, nunca me he tenido inconvenientes pero igual no puedo renovar a un iPhone porque me los dejan caros		-1";"6765";"-1"
"Me dicen lo mismo que esta en la pagina Web Jajajaj\"		-1";"6767";"-1"
"Por que estan tan caras las entradas 		-1";"6783";"-1"
"Amigos que Movistar esta lanzando el iPhone 8 no quita que su servicio sea mierda\"		-1";"6789";"-1"
"Diganme como como voy a pagar 35 palos de renta en la porquerias de telefono que tengo que de paso ni sirve y Movistar menos o sea...\"		-1";"6790";"-1"
"NicolasMaduro presidente como es posible q suban las tarifas telefonicas Movistar por mas de un 1000 % y conatel no se pronuncia\"		-1";"6795";"-1"
"Movistar dio su brazo a torcer y los partidos Peru vs. Nueva Zelanda sern transmitidos por se_al abierta		-1";"6796";"-1"
"da tarifa de prepagos, pospago no da *144 tampoco y mi movistar tampoco, es uno de los misterios de movistar		-1";"6800";"-1"
"Movistar, Movilnet y Digitel aumentan tarifas a partir de noviembre 		-1";"6801";"-1"
"sin duda son lo peor como lanzar un aumento tan elevado como ese mas del 1000% adios movistar de porqueria basuras\"		-1";"6813";"-1"
"Movistar, Movilnet y Digitel aumentan tarifas a partir de noviembre		-1";"6814";"-1"
"Movistar, Movilnet y Digitel aumentan tarifas a partir de noviembre		-1";"6816";"-1"
"Usuarios de Movistar denuncian que aumentaron las tarifas. 		-1";"6834";"-1"
"Estafa con las tarifas de Movistar deja perplejo al mas ecuanime. Un monto de 36.000,00 Bs por 1.2 gb 300 minutos con		-1";"6845";"-1"
"Que Movistar/Digitel aumenten sus tarifas es medio aceptable, pero movilnet deberia pagarle a sus usuarios por usar esa\"		-1";"6847";"-1"
"El plan Naranja 250 de Movilnet paso de costar Bs. 288,60 a Bs. 6.781, un aumento de al menos 2.250% 		-1";"6848";"-1"
"El d? de ayer fue asqueroso. O sea aumento del sueldo. Del pasaje. De Movistar de toda mierda menos mis ganas de seguir en este pais\"		-1";"6851";"-1"
"Estafa con las tarifas de Movistar deja perplejo al mas ecuanime. Un monto de 36.000,00 Bs por 1.2 gb 300 minutos con		-1";"6852";"-1"
"Gracias a movistar por este Halloween y sus precios de terror.\"		-1";"6854";"-1"
"AlertaPresidenteMaduro OJO PELAO CON Movistar que subi sus tarifas en 300% son unos miserables		-1";"6856";"-1"
"Otra vez movistar sin internet podrido con mal servicio @MovistarChile @SERNAC		-1";"6874";"-1"
"movistar tiene empleados y es una empresa privada, estoy dispuesta a pagar 		-1";"6879";"-1"
"quiero hacer una denuncia formal por mal servicio de movistar , todos los dias me desconecta a la 1:30 am yo trabajo a esa hora		-1";"6881";"-1"
"Movistar.. mal servicio!! Conx lenta..!!!\"		-1";"6889";"-1"
"Conatel  Muy eficiente a la hora de aceptar aumento de tarifas telefonia celular! Aunado mal servicio de movilnet. Movistar de 5 a 37 mil.\"		-1";"6896";"-1"
"Me pase de Movistar a Claro y es igual mal servicio con publicidad enganosa. Si tuvieran internet seria genial.		-1";"6900";"-1"
"Me pase de Movistar a Claro y es igual mal servicio con publicidad enganosa. Si tuvieran internet seria genial.		-1";"6903";"-1"
"ANCLegadoDeChavez la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reint		-1";"6911";"-1"
"Sobre la renta de Movistar: no me quejare... Acepto el aumento... Pero es a?tan poco dinero q no me puedo quejar del mal servicio\"		-1";"6926";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"6937";"-1"
"Si el servicio tecnico Movistar ha dado fecha para el 31 de noviembre, muy mal ...		-1";"6943";"-1"
"Estoy tan dispuesta a pagar el incremento de Movistar, como lo estare cuando aumenten el del metro. El costo solo justifica		-1";"6944";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"6954";"-1"
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";"6959";"-1"
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";"6960";"-1"
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";"6969";"-1"
"Estoy tan dispuesta a pagar el incremento de Movistar, como lo estare cuando aumenten el del metro. El costo solo justifica		-1";"6970";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"6986";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"6990";"-1"
"Ahora viene la gente a quejarse porque tienen que pagar 30.000bs y el regimen le bloquea el aumento y mas		-1";"6992";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"7001";"-1"
"Bueno y Entonces Hasta Cuando Digitel y Movistar Violando a Sus Usuarios, Mal Servicio y Tarifas Impagables! @NicolasMaduro @Conatel OJO\"		-1";"7005";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"7008";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"7010";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"7019";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"7023";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"7043";"-1"
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";"7045";"-1"
"verga y tan mal servicio que presta Movistar\"		-1";"7047";"-1"
"verga y tan mal servicio que presta Movistar\"		-1";"7049";"-1"
"verga y tan mal servicio que presta Movistar\"		-1";"7051";"-1"
"Que pasa con los aumentos de las tArifas sin aviso,el mal servicio 		-1";"7052";"-1"
"Un aumento del 750% en mi plan y no recib?un mensaje informativo, ni por respeto ni por cortes?. Que mal servicio		-1";"7061";"-1"
"Un aumento del 750% en mi plan y no recib?un mensaje informativo, ni por respeto ni por cortes?. Que mal servicio		-1";"7065";"-1"
"mal servicio telefnico en San Felipe - Comas. Tengo un postpago y la senal de internet falla constantemnte		-1";"7094";"-1"
"Si te quejas de los aumentos de Movistar, deja perder la linea de una vez...asi se evitan las quejas de mal funcionamiento\"		-1";"7102";"-1"
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";"7103";"-1"
"Si te quejas de los aumentos de Movistar, deja perder la linea de una vez...asi se evitan las quejas de mal funcionamiento\"		-1";"7106";"-1"
"como uds. M van a cobrar 60.000 Bs. De renta, es un absurdo, su mal servicio de cobertura y navegacion de internet es pesimo.\"		-1";"7113";"-1"
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";"7116";"-1"
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";"7123";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"7125";"-1"
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...\"		-1";"7137";"-1"
"Movistar Peru la peor PORQUERIA QUE PUDEMOS HABER ADQUIRIDO, el peor servicio, la peor senal, todo lo tienen mal		-1";"7146";"-1"
"Movistar no responde ante reiterados reclamos por mal servicio internet hogar\"		-1";"7158";"-1"
"Un horror el mal servicio de @Movistar una pena , yo que confiaba en sus servicios , mi movil y mi casa con problemas @AyudaMovistarCL\"		-1";"7168";"-1"
"Por que nadie contesta en el call center? Me bloquearon? Si dan mal servicio No les gustan los clientes que consultamos?\"		-1";"7169";"-1"
"Mi teor? es que Movistar pertenece a Telcel, y lo usan para dar mal servicio 		-1";"7176";"-1"
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";"7181";"-1"
